listing_id,created_at,title,user_type,price,province,city,area,display_date,fetch_time,make,model,variant,car_year,mileage,fuel_type,color,transmission,engine_capacity,body_type,seller_type
875004127,2022-10-11T19:35:38+07:00,[OLXAutos] Nissan Xtrail 2015 2.5 A/T Bensin Hitam #Fivales,Franchise,215000000.0,Jakarta D.K.I.,Jakarta Timur,Makasar,2022-10-30T12:14:10+0000,2022-10-31 10:24:06,Nissan,X-Trail,2.5 Bensin,2015,95,Bensin,Hitam,Automatic,2000-to-3000,SUV,Diler
876856626,2022-10-25T13:48:35+07:00,Vellfire Z 2.4 AT 2011 Hitam TDP Hanya 15 JT!,Regular,280000000.0,Jakarta D.K.I.,Jakarta Timur,Duren Sawit,2022-10-22T07:52:22+0000,2022-10-31 10:24:06,Toyota,Vellfire,2.4 Z Bensin,2011,85,Bensin,Hitam,Automatic,2000-to-3000,Minibus,Diler
876962963,2022-10-23T22:16:45+07:00,Honda HRV 1.5 E CVT AT 2018 FullOriginal SepertiBaru Gresss Istimewa,Regular,228000000.0,Jakarta D.K.I.,Jakarta Timur,Duren Sawit,2022-10-23T15:16:40+0000,2022-10-31 10:24:06,Honda,HR-V,E CVT,2018,45,Bensin,Hitam,Automatic,1000-to-1500,SUV,
872010996,2022-10-18T12:32:07+07:00,[OLX Autos]  Suzuki Baleno 1.4 A/T 2019 Abu-Abu,Regular,186000000.0,Jakarta D.K.I.,Jakarta Barat,Palmerah,2022-10-28T04:32:48+0000,2022-10-31 10:24:06,Suzuki,Baleno,1.4 Bensin,2019,45,Bensin,Abu-abu,Automatic,1000-to-1500,Hatchback,
871646410,2022-10-31T09:47:45+07:00,[OLX AUTOS] Nissan Livina VE Bensin 2019 Automatic Hitam Metalik,OLX_Autos,201000000.0,Jakarta D.K.I.,Jakarta Selatan,Pasar Minggu,2022-10-31T02:47:43+0000,2022-10-31 10:24:06,Nissan,Livina,1.5 VE Bensin,2019,15,Bensin,Hitam,Automatic,1000-to-1500,MPV,Diler
868813238,2022-10-28T09:41:54+07:00,[OLX Autos] Honda CR-Z CRZ 1.5 Hybrid AT 2013 Hitam #SuryaBagus,Franchise,285000000.0,Jakarta D.K.I.,Jakarta Selatan,Kebayoran Baru,2022-10-31T02:46:58+0000,2022-10-31 10:24:06,Honda,CR-Z,1.5 Hybrid,2013,35,Hybrid,Hitam,Automatic,1000-to-1500,Sedan,Individu
877606524,2022-10-31T09:46:49+07:00,[OLXAutos] Suzuki Ignis 2018 1.2 GX AGS Bensin A/T Silver #Brillian Ma,Franchise,138000000.0,Jakarta D.K.I.,Jakarta Timur,Duren Sawit,2022-10-31T02:46:55+0000,2022-10-31 10:24:06,Suzuki,Ignis,1.2 GX AGS Bensin,2018,50,Bensin,Silver,Automatic,1000-to-1500,,Diler
877606498,2022-10-31T09:46:38+07:00,[Mobil Baru] Porsche 718 Spyder 2022,Regular,5000000000.0,Jakarta D.K.I.,Jakarta Utara,Penjaringan,2022-10-31T02:46:36+0000,2022-10-31 10:24:06,Porsche,718,,2022,5,Bensin,Biru,Automatic,,,
875946983,2022-10-12T15:03:21+07:00,Nissan Grand Livina 1.5 SV Facelift Bensin A/T 2013 *,OLX_Autos,106500000.0,Jakarta D.K.I.,Jakarta Barat,Palmerah,2022-10-31T02:45:54+0000,2022-10-31 10:24:06,Nissan,Grand livina,1.5 SV Facelift Bensin,2013,125,Bensin,Merah,Automatic,1000-to-1500,MPV,Diler
875946894,2022-10-12T15:02:35+07:00,Daihatsu Ayla 1.2 X Bensin M/T 2022 *,OLX_Autos,128500000.0,Jakarta D.K.I.,Jakarta Barat,Tambora,2022-10-31T02:45:40+0000,2022-10-31 10:24:06,Daihatsu,Ayla,1.2 X Bensin,2022,10,Bensin,Putih,Manual,1000-to-1500,MPV,Diler
877606395,2022-10-31T09:46:00+07:00,Nissan Juke Matic 2011 Cvt,Regular,109500000.0,Jakarta D.K.I.,Jakarta Selatan,Jagakarsa,2022-10-31T02:45:39+0000,2022-10-31 10:24:06,Nissan,Juke,1.5 CVT Bensin,2011,80,Bensin,Putih,Automatic,1000-to-1500,SUV,Individu
876584601,2022-10-19T16:43:28+07:00,Wuling Cortez 1.5 CT Lux Plus Bensin A/T 2019,OLX_Autos,184500000.0,Jakarta D.K.I.,Jakarta Timur,Cipayung,2022-10-31T02:45:19+0000,2022-10-31 10:24:06,Wuling,Cortez,1.5 CT Lux Plus Bensin,2019,60,Bensin,Hitam,Automatic,1000-to-1500,MPV,Diler
877606265,2022-10-31T09:44:36+07:00,[OLXAutos] Nissan Grand Livina 2008 1.5 XV Bensin A/T Hitam #Brillian,Franchise,67500000.0,Jakarta D.K.I.,Jakarta Timur,Duren Sawit,2022-10-31T02:45:00+0000,2022-10-31 10:24:06,Nissan,Grand livina,1.5 XV Bensin,2008,195,Bensin,Hitam,Automatic,1000-to-1500,,Diler
877606269,2022-10-31T09:44:36+07:00,Toyota Sienta type G 1.5 AT matic tahun 2018 warna putih DP minim,Regular,175000000.0,Jakarta D.K.I.,Jakarta Timur,Jatinegara,2022-10-31T02:44:35+0000,2022-10-31 10:24:06,Toyota,Sienta,1.5 G Bensin,2018,70,Bensin,Putih,Automatic,,,Diler
876584988,2022-10-19T16:47:01+07:00,Wuling Almaz 1.5 Bensin A/T 2019,OLX_Autos,233000000.0,Jakarta D.K.I.,Jakarta Selatan,Kebayoran Baru,2022-10-31T02:44:19+0000,2022-10-31 10:24:06,Wuling,Almaz,1.5 Bensin,2019,25,Bensin,Putih,Automatic,1000-to-1500,SUV,Diler
877191415,2022-10-27T12:03:16+07:00,Toyota Vios 1.5 G Bensin A/T 2012,OLX_Autos,114500000.0,Jakarta D.K.I.,Jakarta Selatan,Pesanggrahan,2022-10-31T02:44:15+0000,2022-10-31 10:24:06,Toyota,Vios,1.5 G Bensin,2012,100,Bensin,Hitam,Automatic,1000-to-1500,Sedan,Diler
876585307,2022-10-19T16:50:15+07:00,Toyota Avanza 1.5 Veloz Bensin A/T 2021,OLX_Autos,215000000.0,Jakarta D.K.I.,Jakarta Pusat,Sawah Besar,2022-10-31T02:43:51+0000,2022-10-31 10:24:06,Toyota,Avanza,1.5 Veloz Bensin,2021,25,Bensin,Hitam,Automatic,1000-to-1500,MPV,Diler
877191504,2022-10-26T13:10:16+07:00,Toyota Agya 1.2 TRD Sportivo Bensin A/T 2018,OLX_Autos,132500000.0,Jakarta D.K.I.,Jakarta Timur,Duren Sawit,2022-10-31T02:43:50+0000,2022-10-31 10:24:06,Toyota,Agya,1.2 TRD Sportivo Bensin,2018,50,Bensin,Kuning,Automatic,1000-to-1500,Compact & City Car,Diler
874111716,2022-10-31T09:43:37+07:00,[OLX AUTOS] Nissan Serena HWS  Bensin 2012 AT Hitam Metalik #FlashSale,OLX_Autos,125000000.0,Jakarta D.K.I.,Jakarta Selatan,Pesanggrahan,2022-10-31T02:43:34+0000,2022-10-31 10:24:06,Nissan,Serena,2.0 Highway Star Bensin,2012,165,Bensin,Hitam,Automatic,1500-to-2000,Van,Diler
874314384,2022-10-31T09:47:52+07:00,Nissan Livina VL at 2019,Regular,205000000.0,Jakarta D.K.I.,Jakarta Timur,Duren Sawit,2022-10-31T02:42:59+0000,2022-10-31 10:24:06,Nissan,Livina,1.5 VL Bensin,2019,70,Bensin,Abu-abu,Automatic,1000-to-1500,MPV,Individu
869651118,2022-10-27T19:26:32+07:00,[OLXAutos] Honda Mobilio 2018 1.5 E A/T Bensin Putih #AutoDream,Franchise,170000000.0,Jakarta D.K.I.,Jakarta Utara,Kelapa Gading,2022-10-09T05:49:32+0000,2022-10-31 10:24:06,Honda,Mobilio,1.5 E Bensin,2018,50,Bensin,Putih,Automatic,1000-to-1500,MPV,Diler
877169135,2022-10-26T09:50:57+07:00,[OLX Autos] KIA Sorento 2013 2.2 Solar A/T Putih #Allison,Regular,229000000.0,Jakarta D.K.I.,Jakarta Selatan,Cilandak,2022-10-28T07:54:53+0000,2022-10-31 10:24:06,Kia,Sorento,2.2 Solar,2013,90,Bensin,Putih,Automatic,2000-to-3000,SUV,Diler
875975799,2022-10-15T07:24:54+07:00,[OLXAutos] Chevrolet Spin 1.5 LTZ Bensin AT 2013 Abu-Abu,Regular,99000000.0,Jakarta D.K.I.,Jakarta Barat,Kalideres,2022-10-28T08:06:41+0000,2022-10-31 10:24:06,Chevrolet,Spin,1.5 LTZ Bensin,2013,90,Bensin,Abu-abu,Automatic,1000-to-1500,MPV,Diler
872849364,2022-10-17T20:05:38+07:00,[OLXAutos] Mercedes-Benz B180 1.7 A/T 2010 Bensin Hitam#HANDY AUTOS,Franchise,159000000.0,Jakarta D.K.I.,Jakarta Selatan,Kebayoran Baru,2022-10-30T14:22:35+0000,2022-10-31 10:24:06,Mercedes-Benz,B180,1.7 Bensin,2010,150,Bensin,Hitam,Automatic,1500-to-2000,SUV,Diler
877606066,2022-10-31T09:42:57+07:00,Nissan March 2012,Regular,88000000.0,Jakarta D.K.I.,Jakarta Selatan,Tebet,2022-10-31T02:42:57+0000,2022-10-31 10:24:06,Nissan,March,1.2 L Bensin,2012,100,Bensin,Putih,Automatic,1000-to-1500,Hatchback,Individu
871628893,2022-10-31T09:42:58+07:00,[Mobil Baru] Mercedes G 63 AMG 2022,Regular,7600000000.0,Jakarta D.K.I.,Jakarta Utara,Penjaringan,2022-10-31T02:42:56+0000,2022-10-31 10:24:06,Mercedes-Benz,GL63,,2022,5,Bensin,Hitam,Automatic,,,
