listing_id,year,make,model,variant,displacement,transmission,color,mileage,price,city,last_updated
10053514,2015,Mazda,2,R,1496,Automatic,Merah,52500,196000000,Cilandak,20 Oktober 2022
10507969,2019,Suzuki,Ignis,GX,1197,Manual,Biru,22500,141000000,Serpong,20 Oktober 2022
10526964,2010,CEPAT],Alphard,X,2362,Automatic,Silver,94098,278000000,Ciputat,20 Oktober 2022
10497760,2017,Mitsubishi,Pajero Sport,Dakar Ultimate,2442,Automatic,Putih,72500,425000000,Harapan Indah,20 Oktober 2022
10476221,2014,BMW,328i,Sport,1997,Automatic,Abu-abu,12500,449000000,Kelapa Gading,20 Oktober 2022
10502755,2016,Mitsubishi,Pajero Sport,Dakar,2477,Automatic,Abu-abu,107500,395000000,Bogor Kota,20 Oktober 2022
10476481,2016,Mercedes-Benz,C250,AMG,1991,Automatic,Putih,22500,650000000,BSD City,20 Oktober 2022
10557829,2018,Toyota,Innova Venturer,,2393,Automatic,Putih,93711,409900000,Karawaci,20 Oktober 2022
10557842,2013,Jaguar,XF,Premium Luxury,2995,Automatic,Putih,27500,455000000,Jati Asih,20 Oktober 2022
10523081,2018,Honda,CR-V,Prestige Prestige VTEC,1498,Automatic,Abu-abu,67500,430000000,Kalideres,20 Oktober 2022
10512686,2018,Honda,HR-V,E,1497,Automatic,Abu-abu,32500,255000000,Villa Melati Mas,20 Oktober 2022
10533630,2011,BMW,535i,535i,2979,Automatic,Putih,27500,535000000,Bintaro,20 Oktober 2022
10517703,2017,Suzuki,Ertiga,GL,1373,Manual,Abu-abu,62500,149000000,Cawang,20 Oktober 2022
9824131,2017,Daihatsu,Xenia,X DELUXE,1329,Manual,Silver,92500,141000000,Cempaka Putih,20 Oktober 2022
10540359,2017,Isuzu,MU-X,Royale,2499,Automatic,Coklat,70486,365000000,Jagakarsa,20 Oktober 2022
10557870,2011,Toyota,Alphard,G,2362,Automatic,Hitam,97500,319000000,Joglo,20 Oktober 2022
10557382,2015,Toyota,Avanza,Veloz,1329,Automatic,Silver,37500,165000000,Cibubur,20 Oktober 2022
10557476,2015,Mazda,2,R,1496,Automatic,Merah,82500,184000000,Jagakarsa,20 Oktober 2022
10557893,2019,Chevrolet,Trax,Premier,1364,Automatic,Hitam,62500,180600000,Pluit,20 Oktober 2022
10557899,2018,BMW,520i,Luxury,1998,Automatic,Hitam,22500,749000000,Lenteng Agung,20 Oktober 2022
10517597,2014,Suzuki,Ertiga,GX,1373,Manual,Putih,42500,139000000,Bintaro,20 Oktober 2022
10557902,2021,Daihatsu,Rocky,R TC ADS,996,Automatic,Abu-abu,17500,244000000,Mangga Dua,20 Oktober 2022
10553720,2018,Volkswagen,Tiguan,TSI,1395,Automatic,Abu-abu,37500,425000000,Bintaro,20 Oktober 2022
8969929,2015,Jeep,Wrangler,Sport Renegade,2985,Automatic,Hitam,37500,1095000000,Pondok Indah,20 Oktober 2022
10517387,2020,Daihatsu,Terios,X,1496,Manual,Putih,32500,210000000,Bintaro,20 Oktober 2022
10514560,2020,Toyota,Kijang Innova,V,1998,Automatic,Putih,27500,336000000,Ciputat,20 Oktober 2022
9226825,2019,BMW,520i,Luxury,1998,Automatic,Hitam,22500,865000000,Pondok Indah,20 Oktober 2022
10557961,2019,Honda,HR-V,E Special Edition,1497,Automatic,Hitam,32500,299000000,Bintaro,20 Oktober 2022
10091884,2021,Cross,Xpander,CROSS,1499,Automatic,Hitam,17600,260000000,Pondok Indah,20 Oktober 2022
10514441,2020,Toyota,Rush,TRD Sportivo,1496,Automatic,Merah,42500,236000000,Cinere,20 Oktober 2022
10557989,2017,Toyota,Rush,G,1495,Automatic,Hitam,96414,175100000,Mangga Dua,20 Oktober 2022
10557935,2019,Mitsubishi,Xpander,SPORT,1499,Automatic,Putih,37500,217000000,Buncit,20 Oktober 2022
10557960,2020,Honda,BR-V,E Prestige,1497,Automatic,Hitam,12500,237000000,Pluit,20 Oktober 2022
10517246,2012,Toyota,Avanza,G,1298,Automatic,Abu-abu,127500,129000000,Cililitan,20 Oktober 2022
9669847,2001,BMW,325i,,2494,Automatic,Silver,182500,115000000,Kebayoran Lama,20 Oktober 2022
10514613,2016,Toyota,Avanza,G,1329,Automatic,Hitam,82500,157000000,Bekasi,20 Oktober 2022
9669872,2010,BMW,X6,xDrive35i,2979,Automatic,Hitam,92500,490000000,Kebayoran Lama,20 Oktober 2022
10117991,2010,MINI,Cooper,,1598,Automatic,Hijau,22500,775000000,Kebayoran Lama,20 Oktober 2022
10557749,2017,BMW,730Li,,1998,Automatic,Hitam,32500,1050000000,Kebon Jeruk,20 Oktober 2022
10445356,2011,BMW,523i,Executive,2497,Automatic,Putih,67500,305000000,Kebayoran Lama,20 Oktober 2022
10296842,2011,Mercedes-Benz,G55 AMG,,5439,Automatic,Hitam,12500,3800000000,Kebayoran Lama,20 Oktober 2022
9054481,2011,BMW,523i,Executive,2497,Automatic,Silver,67500,298000000,Kebayoran Lama,20 Oktober 2022
10557757,2021,Toyota,Fortuner,TRD,2393,Automatic,Putih,22500,495000000,Kemayoran,20 Oktober 2022
8469805,1999,BMW,735IL,V8 3.5 Automatic,3498,Automatic,Silver,97500,150000000,Kebayoran Lama,20 Oktober 2022
8249405,2016,Mercedes-Benz,E400,AMG,2996,Automatic,Hitam,67500,630000000,Kebayoran Lama,20 Oktober 2022
10445583,2010,BMW,320i,,1995,Automatic,Putih,77500,235000000,Kebayoran Lama,20 Oktober 2022
9575243,2016,Nissan,X-Trail,,2488,Automatic,Silver,77500,235000000,Kebayoran Lama,20 Oktober 2022
9815145,2010,BMW,X1,sDrive20d,1995,Automatic,Silver,102500,245000000,Kebayoran Lama,20 Oktober 2022
9795615,2015,BMW,435i,M Sport,2979,Automatic,Hitam,37500,900000000,Kebayoran Lama,20 Oktober 2022
10469808,2016,BMW,X5,xDrive35i xLine,2979,Automatic,Hitam,82500,750000000,Kebayoran Lama,20 Oktober 2022
10036446,2000,Volkswagen,New Beetle,,1984,Automatic,Biru,7500,215000000,Kebayoran Lama,20 Oktober 2022
10393590,2010,BMW,325i,Sport,2497,Automatic,Hitam,67500,250000000,Kebayoran Lama,20 Oktober 2022
10300444,2013,BMW,X3,xDrive20d Efficient Dynamics,1995,Automatic,Putih,47500,420000000,Kebayoran Lama,20 Oktober 2022
9530161,2013,Honda,Civic,,1798,Automatic,Silver,82500,199000000,Pondok Labu,20 Oktober 2022
10557790,2018,Mitsubishi,Pajero Sport,Dakar,2442,Automatic,Hitam,77500,441500000,Bintaro,20 Oktober 2022
10557773,2013,Mercedes-Benz,C250,AMG,1796,Automatic,Hitam,72500,311000000,Kemang,20 Oktober 2022
9333753,2018,Toyota,Kijang Innova,G,2393,Automatic,Putih,87500,314000000,Joglo,20 Oktober 2022
10557767,2008,Toyota,Harrier,240G,2362,Automatic,Silver,102500,165000000,Balaraja,20 Oktober 2022
10557785,2009,Toyota,Kijang Innova,V,1998,Automatic,Abu-abu,112500,137000000,Cililitan,20 Oktober 2022
10557792,2022,Toyota,Rush,S GR Sport,1496,Automatic,Putih,2500,243000000,Patal Senayan,20 Oktober 2022
10402194,2019,BMW,X1,sDrive18i xLine,1499,Automatic,Putih,17500,669000000,Sunter,20 Oktober 2022
10240438,2018,BMW,530i,Luxury,1998,Automatic,Hitam,37500,899000000,Sunter,20 Oktober 2022
10557805,2018,Mazda,2,R,1496,Automatic,Merah,37500,218000000,Benda Cengkareng,20 Oktober 2022
8711877,2019,BMW,320i,Sport Shadow Edition,1998,Automatic,Putih,7500,630000000,Kebayoran Lama,20 Oktober 2022
